"Country","Region","Type","Country1","lat1","lon1","top1","right1","bottom1","left1"
"Addis Ababa","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Afghanistan","","Country","Afghanistan","33.92","67.7","60.51","29.39","74.9","38.45"
"Albania","","Country","Albania","41.16","20.17","19.28","39.67","21.05","42.66"
"American Samoa","","Country","American Samoa","-14.32","-170.69","-170.82","-14.38","-170.56","-14.25"
"Andorra","","Country","Andorra","42.55","1.61","1.44","42.44","1.78","42.65"
"Angola","","Country","Angola","-11.2","17.9","11.73","-18.01","24.06","-4.39"
"Antigua and Barbuda","","Country","Antigua and Barbuda","17.36","-61.78","-61.89","16.99","-61.67","17.73"
"Argentina","","Country","Argentina","-38.42","-63.62","-73.58","-55.05","-53.65","-21.79"
"Armenia","","Country","Armenia","40.07","45.05","43.47","38.84","46.62","41.3"
"Aruba","","Country","Aruba","12.52","-69.96","-70.06","12.4","-69.86","12.63"
"Asayita","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Asosa","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Australia","","Country","Australia","-27.18","133.26","112.91","-43.65","153.62","-10.71"
"Austria","","Country","Austria","47.7","13.36","9.54","46.39","17.18","49.02"
"Awasa","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Azerbaijan","","Country","Azerbaijan","40.14","47.58","44.78","38.39","50.38","41.9"
"Bahamas","","Country","Bahamas","24.59","-76.32","-78.8","22.26","-73.83","26.93"
"Bahirdar","Sub Saharan Africa","City","Ethiopia","","","","","",""
"Bahrain","","Country","Bahrain","26.02","50.54","50.47","25.79","50.61","26.24"
"Bangladesh","Asia","Country","Bangladesh","23.69","90.36","88.04","20.75","92.67","26.63"
"Barbados","","Country","Barbados","13.19","-59.54","-59.66","13.06","-59.43","13.33"
"Barranquilla","Latin America & Caribbean","City","Colombia","","","","","",""
"Beira","Sub Saharan Africa","City","Mozambique","","","","","",""
"Belarus","","Country","Belarus","53.71","26.19","19.64","51.25","32.74","56.17"
"Belgium","","Country","Belgium","50.5","4.47","2.54","49.51","6.4","51.5"
"Belize","","Country","Belize","17.19","-88.65","-89.22","15.89","-88.08","18.49"
"Benin","","Country","Benin","9.3","2.32","0.78","6.21","3.86","12.39"
"Bermuda","","Country","Bermuda","32.32","-64.77","-64.86","32.26","-64.67","32.38"
"Bhutan","","Country","Bhutan","27.51","90.43","88.75","26.7","92.11","28.32"
"Blantyre","Sub Saharan Africa","City","Malawi","","","","","",""
"Bogotá","Latin America & Caribbean","City","Colombia","","","","","",""
"Bolivia","","Country","Bolivia","-16.29","-63.56","-69.65","-22.9","-57.46","-9.68"
"Bosnia - Herzegovina","","Country","Bosnia - Herzegovina","43.92","17.68","15.74","42.56","19.62","45.28"
"Botswana","","Country","Botswana","-22.35","24.68","20","-26.89","29.37","-17.8"
"Brazil","Latin America & Caribbean","Country","Brazil","-14.24","-54.4","-74.01","-33.75","-34.8","5.27"
"British Virgin Island","","Country","British Virgin Island","18.23","-63.76","-64.52","18.02","-63","18.45"
"Brunei","","Country","Brunei","4.54","114.73","114.09","4.03","115.36","5.05"
"Bulgaria","","Country","Bulgaria","42.75","25.48","22.36","41.25","28.61","44.24"
"Bunia","Sub Saharan Africa","City","DR Congo","","","","","",""
"Burkina Faso","","Country","Burkina Faso","12.24","-1.56","-5.52","9.4","2.4","15.08"
"Burundi","","Country","Burundi","-3.38","29.92","28.99","-4.45","30.85","-2.3"
"Busia","Sub Saharan Africa","City","Kenya","","","","","",""
"Cali","Latin America & Caribbean","City","Colombia","","","","","",""
"Cambodia","","Country","Cambodia","12.36","104.99","102.35","10.01","107.64","14.7"
"Cameroon United Republic","","Country","Cameroon United Republic","7.37","12.35","8.5","1.65","16.21","13.08"
"Canada","","Country","Canada","62.51","-96.81","-141","41.91","-52.62","83.11"
"Cape Verde","","Country","Cape Verde","16","-24.02","-25.36","14.81","-22.67","17.19"
"CapHaitien","Latin America & Caribbean","City","Haiti","","","","","",""
"Central African Republic","","Country","Central African Republic","6.61","20.94","14.41","2.22","27.46","11"
"Chad","Sub Saharan Africa","Country","Chad","15.45","18.73","13.46","7.46","24","23.45"
